Title;Company;Location;Salary;Type;Category
Data Engineer, DevOps (US Remote Available);CRATE & BARREL;Northbrook, IL;;Full-time;devops
Data Engineer, DevOps (US Remote Available);JPMorgan Chase Bank, N.A.;Jersey City, NJ;;Full-time;devops
Data Engineer, DevOps (US Remote Available);JPMorgan Chase Bank, N.A.;"Jersey City, NJ
+16 locations";;Full-time;devops
Data Engineer, DevOps (US Remote Available);Splunk;"Remote in Portland, OR 97202
+9 locations";;Full-time;devops
Data Engineer, DevOps (US Remote Available);FDM Group;United States;Estimated $62K - $78.6K a year;;devops
Data Engineer, DevOps (US Remote Available);Toyota;Remote in Plano, TX 75023;;Contract;devops
Data Engineer, DevOps (US Remote Available);RELX;"+2 locations
Remote";;Full-time;devops
Data Engineer, DevOps (US Remote Available);TriNetX, LLC;"Remote in United States
+1 location";Estimated $77.3K - $97.9K a year;Full-time;devops
Data Engineer, DevOps (US Remote Available);Dyno Nobel;"Salt Lake City, UT 84121
+1 location";;;devops
Data Engineer, DevOps (US Remote Available);Gannett;"Remote in Boston, MA 02199
+3 locations";;Full-time;devops
Data Engineer, DevOps (US Remote Available);Nelnet;"+3 locations
Remote";;Full-time;devops
Data Engineer, DevOps (US Remote Available);Motorola Solutions;Chicago, IL;;Full-time;devops
Data Engineer, DevOps (US Remote Available);The Clorox Company;Miami, FL;;Full-time;devops
Data Engineer, DevOps (US Remote Available);Motorola Solutions;"Plantation, FL
+2 locations";;Full-time;devops
Data Engineer, DevOps (US Remote Available);Sandia National Laboratories;"Remote in Albuquerque, NM
+1 location";;Full-time;devops
DevOps Specialist;Insurity;"+1 location
Remote";;;devops
DevOps Specialist;Brunswick Corporation;Remote in Chicago, IL;Estimated $135K - $172K a year;Full-time;devops
DevOps Specialist;Northwestern Mutual;"Milwaukee, WI
+2 locations";;;devops
DevOps Specialist;Ferguson;Remote;;Full-time;devops
DevOps Specialist;Motorola Solutions;Chicago, IL;;Full-time;devops
DevOps Specialist;John Deere;Hybrid remote in Chicago, IL;;;devops
DevOps Specialist;Accenture;"Saint Petersburg, FL 33716
(Carillon area)
+59 locations";;Full-time;devops
DevOps Specialist;Nelnet;"+3 locations
Remote";;Full-time;devops
DevOps Specialist;FlashParking;Remote;Estimated $105K - $133K a year;Full-time;devops
DevOps Specialist;NVIDIA;"Santa Clara, CA
+11 locations";;Full-time;devops
DevOps Specialist;LOCKHEED MARTIN CORPORATION;"Mount Laurel, NJ 08054
+14 locations";;;devops
DevOps Specialist;Career Soft Solutions;"Columbus, NJ
+2 locations";;Full-time;devops
DevOps Specialist;Piper Companies;Remote;;;devops
DevOps Specialist;Blue Cross and Blue Shield of North Carolina;Remote;;Full-time;devops
DevOps Specialist;Sandia National Laboratories;"Remote in Albuquerque, NM
+1 location";;Full-time;devops
Infrastructure Engineer, Infotainment;Paramount;"New York, NY 10036
+6 locations";;Full-time;devops
Infrastructure Engineer, Infotainment;Wellframe;Remote in Boston, MA 02210;Estimated $143K - $181K a year;;devops
Infrastructure Engineer, Infotainment;Lucid Motors;"Newark, CA 94560
+2 locations";;Full-time;devops
Infrastructure Engineer, Infotainment;Github;Remote;;;devops
Infrastructure Engineer, Infotainment;Luxor Technology Corporation;Remote;;Full-time;devops
